CUST_ID,GENDER,BALANCE,PURCHASES,BALANCE_FREQUENCY,CASH_ADVANCE,CASH_ADVANCE_TRX,PURCHASES_FREQUENCY,PURCHASES_TRX,ONEOFF_PURCHASES_FREQUENCY,CASH_ADVANCE_FREQUENCY,CREDIT_LIMIT,PAYMENTS,MINIMUM_PAYMENTS,TENURE
C12529,F,107.944741,118.16,0.875,472.818286,1.0,0.125,2,0.125,0.125,2500.0,192.781455,56.999671,8
C14138,,241.032979,0.0,1.0,642.862505,1.0,0.0,0,,0.083333,1500.0,915.454305,195.162256,12
C15409,,894.357857,1164.0,1.0,0.0,0.0,1.0,12,,0.0,2000.0,907.603723,270.413449,-12
C18141,F,-188.132508,515.88,1.0,0.0,,0.833333,14,,0.0,2700.0,601.729266,194.534934,12
C15879,,3881.679582,15.92,1.0,2183.782456,9.0,0.083333,1,,0.333333,5500.0,1032.183632,1129.747227,12
C17660,,1087.784698,0.0,1.0,1562.703953,2.0,0.0,0,0.0,0.166667,1500.0,3093.888643,298.011965,12
C10916,,1081.065726,554.85,1.0,952.424906,8.0,0.5,20,0.25,0.166667,2100.0,1898.82812,382.716751,12
C15128,,100.208311,0.0,0.909091,182.143966,1.0,0.0,0,,0.090909,3000.0,175.911508,145.244181,11
C10109,,862.07238,0.0,1.0,920.309805,1.0,0.0,0,0.0,0.083333,4000.0,2236.890255,214.828158,12
C17983,,1757.439933,0.0,0.833333,2408.007601,6.0,0.0,0,0.0,0.166667,2500.0,175.115831,450.616731,6
C11594,F,1101.085631,0.0,1.0,164.836712,2.0,0.0,0,,0.166667,1200.0,270.956427,345.479341,12
C11107,,814.269404,0.0,0.875,1175.358928,1.0,0.0,0,,0.125,1200.0,257.187514,205.446177,8
C14991,,80.298186,1090.0,0.727273,0.0,0.0,0.5,6,0.0,0.0,4500.0,1015.891727,166.102478,12
C15527,,5058.555256,0.0,1.0,2915.339463,8.0,0.0,0,,0.666667,7000.0,1689.268612,1198.874608,12
C12575,,17.896575,265.97,0.909091,0.0,0.0,1.0,14000,0.0,0.0,1000.0,224.528678,120.554003,12
C15744,,126.159165,144.9,1.0,0.0?ñ,0.0,0.25,6,,0.0,450.0,1307.853194,1336.106153,12
C12780,F,28.445432,166.2,0.545455,0.0,0.0,0.25,3,0.25,0.0,5500.0,236.022703,97.531842,12
